,date,title,rating,genres,id
80,2014-04-20,Boardwalk Hempire: The Rise and Fall of the Medical Kush Beach Club,6.0,"('documentary', 'biography', 'crime', 'history')",tt2246597
81,2005-09-30,Made in Hollywood,4.3,"('talk-show',)",tt0911896
82,2002-11-09,Deutschland sucht den Superstar,2.0,"('game-show', 'music', 'reality-tv')",tt0362339
83,2007-02-21,Reel Junkie,4.4,"('talk-show',)",tt3234862
84,2007-02-21,Up Close with Carrie Keagan,4.3,"('talk-show',)",tt1434322
85,1993-01-11,WWE Monday Night RAW,7.8,"('action', 'sport')",tt0185103
86,2014-02-04,Escape Plan: Clash of the Titans,6.8,"('short',)",tt5260790
87,2014-02-04,Executing the Plan: The Making of 'Escape Plan',,"('documentary', 'short')",tt5260768
88,2013-09-24,Das Energie-Experiment Güssing,,"('documentary',)",tt3804438
89,2013-09-20,Generation Iron,7.1,"('documentary', 'drama', 'sport')",tt2205904
90,2011-07-06,Framelines,6.7,"('reality-tv',)",tt2119027
91,2013-05-21,Cornfield Chaos: Scene Breakdown of 'The Last Stand',,"('short',)",tt5309800
92,2013-05-21,Not in My Town: Making 'The Last Stand',,"('documentary', 'short')",tt5308690
93,2011-01-17,Piers Morgan Tonight,3.0,"('talk-show',)",tt1809909
94,1996-04-24,Smap×Smap,7.4,"('comedy', 'game-show', 'music', 'talk-show')",tt0305109
95,2003-09-28,Pânico na TV,5.6,"('comedy',)",tt0466518
96,2013-04-06,WWE Hall of Fame 2013,6.3,"('sport',)",tt2626432
97,2013-03-09,Milius,7.5,"('documentary', 'biography', 'drama')",tt2370224
98,2013-03-01,ASF25 a Documentary,,"('documentary',)",tt3556650
99,2012-04-16,Vecherniy Urgant,6.3,"('comedy', 'news', 'talk-show')",tt4264964
100,2010-09-24,Daybreak,3.1,"('news', 'talk-show')",tt1695352
101,2000-10-02,Breakfast,5.3,"('family', 'news', 'talk-show')",tt0262152
102,2011-05-09,Big Morning Buzz Live,5.9,"('talk-show',)",tt1907886
103,1998-02-01,Fox and Friends,3.4,"('news', 'talk-show')",tt0185065
104,,Late Night with Jimmy Fallon,6.9,"('comedy', 'music', 'talk-show')",tt1231460
105,2013-01-13,70th Golden Globe Awards,7.4,"('news', 'reality-tv', 'talk-show')",tt2604420
106,1992-05-25,The Tonight Show with Jay Leno,5.2,"('comedy', 'music', 'talk-show')",tt0103569
107,2005-01-17,The Hour,4.8,"('comedy', 'music', 'news', 'talk-show')",tt0456031
108,1996-07-22,The Daily Show,8.4,"('comedy', 'news', 'talk-show')",tt0115147
109,1968-09-24,60 Minutes,7.4,"('documentary', 'news')",tt0123338
110,2012-05-15,30 for 30 Shorts,7.5,"('documentary', 'short')",tt2158640
111,2012-03-19,Craptastic!,3.7,"('documentary', 'biography', 'comedy', 'news')",tt1999125
112,2011-11-24,Conan: From the Vault,,"('short',)",tt5230608
113,,A Call for Renewable Energy in Brazil,,"('documentary', 'short')",tt2343698
114,2012-03-20,Tony Curtis: Driven to Stardom,7.3,"('documentary', 'biography')",tt1910651
115,2011-08-01,Close Up,7.2,"('biography',)",tt2132638
116,2011-04-22,Revenge of the Electric Car,7.2,"('documentary',)",tt1413496
117,2011-03-24,A Classic Tale: From Flabby to Fantastic,,"('documentary', 'short', 'biography', 'drama', 'sport')",tt1820367
118,2011-03-30,The Man Who Changed the World. Mikhail Gorbachev's 80th Birthday Gala,,"('reality-tv',)",tt9805806
119,2011-01-14,16th Annual Critics' Choice Movie Awards,5.9,"('documentary',)",tt1817076
120,2011-01-01,California State of Mind: The Legacy of Pat Brown,8.4,"('documentary', 'biography')",tt1326743
121,2010-11-03,Marijuana: A Chronic History,7.7,"('documentary',)",tt1765903
122,2010-09-17,Die Stille der Unschuld - Der Künstler Gottfried Helnwein,8.1,"('documentary',)",tt1676103
123,2010-08-21,Inferno: The Making of 'The Expendables',7.8,"('documentary',)",tt1687890
124,2010-06-28,The Politic Context of 'Red Heat',,"('documentary', 'short')",tt5369732
125,2010-04-27,Gerrymandering,7.1,"('documentary',)",tt1241319
126,2010-02-12,Vancouver 2010: XXI Olympic Winter Games,8.1,"('family', 'sport')",tt1517514
127,2010-01-27,Nuclear Tipping Point,7.3,"('documentary',)",tt1693809
128,2010-02-28,Climate One Commonwealth Club Forum,,"('talk-show',)",tt1990507
129,2010-01-17,The 67th Annual Golden Globe Awards,7.3,"('comedy', 'music', 'news')",tt1564372
130,2009-11-24,2009 Britannia Awards,,(),tt1871196
131,2007-01-01,Aftenshowet,4.3,"('news', 'talk-show')",tt0939787
132,2009-10-24,Hot Cities,,"('documentary',)",tt2157076
133,2009-12-12,Salmagundi,8.7,"('documentary', 'short', 'history', 'news')",tt1479799
134,2009-09-14,The Jay Leno Show,3.6,"('comedy', 'talk-show')",tt1381004
135,2009-01-12,Hannity,4.4,"('news', 'talk-show')",tt1500570
136,2009-05-25,Straight from the Horses Mouth,6.7,"('comedy',)",tt2012025
137,2009-03-05,Reg Park: The Legend,9.0,"('documentary',)",tt1410049
138,1992-06-01,Punkt 12,3.6,"('news',)",tt0343294
139,2009-02-15,Right America: Feeling Wronged - Some Voices from the Campaign Trail,7.0,"('documentary',)",tt1372293
140,1974-03-03,Nova,8.7,"('documentary',)",tt0206501
141,1978-01-01,Tagesthemen,5.9,"('documentary', 'news')",tt0193684
142,2008-10-08,Being W,6.8,"('documentary',)",tt1230447
143,2008-09-30,Why We Train,8.1,"('documentary',)",tt1288607
144,2008-09-14,Chabad: To Life Telethon,5.1,"('family',)",tt1295082
145,2008-07-30,Citizen Kate,6.4,"('documentary', 'short')",tt1388415
146,2008-06-01,Caring for Our Water,,"('documentary',)",tt1251341
147,1973-02-22,HBO World Championship Boxing,8.0,"('documentary', 'sport')",tt0775367
148,1991-09-30,Charlie Rose,7.5,"('news', 'talk-show')",tt0270116
149,2008-02-26,Terminator 3: TerminatorVision,,"('documentary', 'short')",tt6037166
150,1985-06-03,Larry King Live,5.5,"('news', 'talk-show')",tt0088550
151,2003-06-11,Imagine,6.9,"('documentary', 'history')",tt0237968
152,2008-01-19,Bigger Stronger Faster*,7.6,"('documentary', 'sport')",tt1151309
153,2007-12-06,Chanukah Lights Live,,"('reality-tv',)",tt2005176
154,2007-09-09,Chabad Telethon,,"('fantasy',)",tt1358398
155,2007-09-09,Darfur Now,6.8,"('documentary',)",tt0988102
156,1996-11-24,E! True Hollywood Story,6.6,"('documentary', 'biography')",tt0463399
157,1981-10-05,20 heures le journal,5.1,"('news',)",tt0480279
158,2007-05-25,2007 Taurus World Stunt Awards,7.2,(),tt1039943
159,1997-11-09,BBC News 24,6.0,"('news',)",tt0240256
160,1999-03-08,ITV Evening News,4.3,"('news',)",tt0241108
161,2007-01-15,The 64th Annual Golden Globe Awards,5.5,"('news',)",tt0914790
162,2006-12-13,George Clooney: An American Cinematheque Tribute,6.7,(),tt0839834
163,1985-10-07,American Masters,8.0,"('documentary', 'biography')",tt0364151
164,2006-10-01,40 Dumbest Celeb Quotes... Ever,6.8,"('comedy',)",tt0953289
165,2006-05-22,Legends Ball,6.3,"('documentary', 'drama')",tt0803026
166,2006-04-30,Al Franken: God Spoke,6.4,"('documentary', 'comedy')",tt0799916
167,1996-12-24,This Week,5.5,"('news', 'talk-show')",tt0481456
168,1997-01-06,Bl!tz,3.4,"('documentary', 'news')",tt0360248
169,2005-11-24,Batman & Robin Villains: Mr. Freeze,6.3,"('documentary', 'short')",tt5524988
170,2005-11-24,Beyond Batman: Frozen Freaks and Femme Fatales - The Makeup of 'Batman & Robin',,"('documentary', 'short')",tt5186650
171,2005-11-24,"Beyond Batman: Bigger, Bolder, Brighter - The Production Design of 'Batman & Robin'",7.5,"('documentary', 'short')",tt5186618
172,2005-11-24,Batman: The Motion Picture Anthology 1989-1997 - Beyond Batman: Freeze Frame - The Visual FX of 'Batman & Robin',6.7,"('documentary', 'short')",tt1018684
173,2005-11-24,Batman: The Motion Picture Anthology 1989-1997 - Beyond Batman: Dressed to Thrill - The Costumes of 'Batman & Robin',6.4,"('documentary', 'short')",tt1018683
